no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
24,적선노외,28,13,2020-09-20 19,22
25,종묘,1317,920,2020-09-20 19,22
26,천왕역,328,275,2020-09-20 19,22
27,천호역,1432,682,2020-09-20 19,22
28,학여울역,180,136,2020-09-20 19,22
29,한강진역,176,23,2020-09-20 19,22
30,화랑대역주차장,319,261,2020-09-20 19,22
31,훈련원공원,873,683,2020-09-20 19,22
1,DDP동측(양쪽),20,20,2020-09-20 20,21
2,웃우물공영,79,9,2020-09-20 20,21
3,가양라이품,38,32,2020-09-20 20,21
4,개화산역주차장,322,256,2020-09-20 20,21
5,개화역,483,330,2020-09-20 20,21
6,구로디지털단지역,92,37,2020-09-20 20,21
7,구파발역,399,331,2020-09-20 20,21
8,장안2동,80,31,2020-09-20 20,21
9,동대문공영주차장,1092,873,2020-09-20 20,21
10,마포유수지주차장,505,303,2020-09-20 20,21
11,복정역공영주차장,363,261,2020-09-20 20,21
12,사당노외,184,96,2020-09-20 20,21
13,서린노외주차장,38,34,2020-09-20 20,21
14,세종로,1260,1095,2020-09-20 20,21
15,수락산역,157,113,2020-09-20 20,21
16,수서역남,18,13,2020-09-20 20,21
17,수서역북주차장,553,489,2020-09-20 20,21
18,신대방역,60,18,2020-09-20 20,21
19,신방화역,199,80,2020-09-20 20,21
20,신천유수지주차장,164,183,2020-09-20 20,21
21,영등포구청역,137,69,2020-09-20 20,21
22,용산주차빌딩,561,396,2020-09-20 20,21
23,잠실역주차장,346,67,2020-09-20 20,21
24,적선노외,28,17,2020-09-20 20,21
25,종묘,1317,944,2020-09-20 20,21
26,천왕역,328,270,2020-09-20 20,21
27,천호역,1432,688,2020-09-20 20,21
28,학여울역,180,138,2020-09-20 20,21
29,한강진역,176,61,2020-09-20 20,21
30,화랑대역주차장,319,263,2020-09-20 20,21
31,훈련원공원,873,685,2020-09-20 20,21
1,DDP동측(양쪽),20,20,2020-09-20 21,20
2,웃우물공영,79,10,2020-09-20 21,20
3,가양라이품,38,33,2020-09-20 21,20
4,개화산역주차장,322,260,2020-09-20 21,20
5,개화역,483,335,2020-09-20 21,20
6,구로디지털단지역,92,39,2020-09-20 21,20
7,구파발역,399,342,2020-09-20 21,20
8,장안2동,80,23,2020-09-20 21,20
9,동대문공영주차장,1092,654,2020-09-20 21,20
10,마포유수지주차장,505,299,2020-09-20 21,20
11,복정역공영주차장,363,264,2020-09-20 21,20
12,사당노외,184,94,2020-09-20 21,20
13,서린노외주차장,38,34,2020-09-20 21,20
14,세종로,1260,1114,2020-09-20 21,20
15,수락산역,157,118,2020-09-20 21,20
16,수서역남,18,13,2020-09-20 21,20
17,수서역북주차장,553,484,2020-09-20 21,20
18,신대방역,60,21,2020-09-20 21,20
19,신방화역,199,77,2020-09-20 21,20
20,신천유수지주차장,164,187,2020-09-20 21,20
21,영등포구청역,137,71,2020-09-20 21,20
22,용산주차빌딩,561,394,2020-09-20 21,20
23,잠실역주차장,346,82,2020-09-20 21,20
24,적선노외,28,21,2020-09-20 21,20
25,종묘,1317,970,2020-09-20 21,20
26,천왕역,328,267,2020-09-20 21,20
27,천호역,1432,717,2020-09-20 21,20
28,학여울역,180,137,2020-09-20 21,20
29,한강진역,176,98,2020-09-20 21,20
30,화랑대역주차장,319,267,2020-09-20 21,20
31,훈련원공원,873,673,2020-09-20 21,20
1,DDP동측(양쪽),20,20,2020-09-20 22,19
2,웃우물공영,79,11,2020-09-20 22,19
3,가양라이품,38,33,2020-09-20 22,19
4,개화산역주차장,322,261,2020-09-20 22,19
5,개화역,483,336,2020-09-20 22,19
6,구로디지털단지역,92,49,2020-09-20 22,19
7,구파발역,399,351,2020-09-20 22,19
8,장안2동,80,24,2020-09-20 22,19
9,동대문공영주차장,1092,547,2020-09-20 22,19
10,마포유수지주차장,505,306,2020-09-20 22,19
11,복정역공영주차장,363,268,2020-09-20 22,19
12,사당노외,184,98,2020-09-20 22,19
13,서린노외주차장,38,34,2020-09-20 22,19
14,세종로,1260,1130,2020-09-20 22,19
15,수락산역,157,118,2020-09-20 22,19
16,수서역남,18,13,2020-09-20 22,19
17,수서역북주차장,553,481,2020-09-20 22,19
18,신대방역,60,28,2020-09-20 22,19
19,신방화역,199,77,2020-09-20 22,19
20,신천유수지주차장,164,187,2020-09-20 22,19
21,영등포구청역,137,67,2020-09-20 22,19
22,용산주차빌딩,561,392,2020-09-20 22,19
23,잠실역주차장,346,103,2020-09-20 22,19
24,적선노외,28,23,2020-09-20 22,19
25,종묘,1317,974,2020-09-20 22,19
26,천왕역,328,272,2020-09-20 22,19
27,천호역,1432,768,2020-09-20 22,19
28,학여울역,180,135,2020-09-20 22,19
29,한강진역,176,124,2020-09-20 22,19
30,화랑대역주차장,319,273,2020-09-20 22,19
31,훈련원공원,873,668,2020-09-20 22,19
1,DDP동측(양쪽),20,20,2020-09-20 23,18
2,웃우물공영,79,12,2020-09-20 23,18
3,가양라이품,38,31,2020-09-20 23,18
4,개화산역주차장,322,267,2020-09-20 23,18
5,개화역,483,344,2020-09-20 23,18
6,구로디지털단지역,92,54,2020-09-20 23,18
7,구파발역,399,358,2020-09-20 23,18
8,장안2동,80,25,2020-09-20 23,18
9,동대문공영주차장,1092,473,2020-09-20 23,18
10,마포유수지주차장,505,308,2020-09-20 23,18
11,복정역공영주차장,363,272,2020-09-20 23,18
12,사당노외,184,105,2020-09-20 23,18
13,서린노외주차장,38,34,2020-09-20 23,18
14,세종로,1260,1131,2020-09-20 23,18
15,수락산역,157,120,2020-09-20 23,18
16,수서역남,18,13,2020-09-20 23,18
17,수서역북주차장,553,483,2020-09-20 23,18
18,신대방역,60,27,2020-09-20 23,18
19,신방화역,199,77,2020-09-20 23,18
20,신천유수지주차장,164,184,2020-09-20 23,18
21,영등포구청역,137,66,2020-09-20 23,18
22,용산주차빌딩,561,391,2020-09-20 23,18
23,잠실역주차장,346,111,2020-09-20 23,18
24,적선노외,28,21,2020-09-20 23,18
25,종묘,1317,971,2020-09-20 23,18
26,천왕역,328,272,2020-09-20 23,18
27,천호역,1432,807,2020-09-20 23,18
28,학여울역,180,136,2020-09-20 23,18
29,한강진역,176,139,2020-09-20 23,18
30,화랑대역주차장,319,277,2020-09-20 23,18
31,훈련원공원,873,669,2020-09-20 23,18
1,DDP동측(양쪽),20,20,2020-09-21 00,17
2,웃우물공영,79,14,2020-09-21 00,17
3,가양라이품,38,31,2020-09-21 00,17
4,개화산역주차장,322,267,2020-09-21 00,17
5,개화역,483,349,2020-09-21 00,17
6,구로디지털단지역,92,57,2020-09-21 00,17
7,구파발역,399,360,2020-09-21 00,17
8,장안2동,80,26,2020-09-21 00,17
9,동대문공영주차장,1092,421,2020-09-21 00,17
10,마포유수지주차장,505,304,2020-09-21 00,17
11,복정역공영주차장,363,270,2020-09-21 00,17
12,사당노외,184,100,2020-09-21 00,17
13,서린노외주차장,38,34,2020-09-21 00,17
14,세종로,1260,1136,2020-09-21 00,17
15,수락산역,157,121,2020-09-21 00,17
16,수서역남,18,13,2020-09-21 00,17
17,수서역북주차장,553,477,2020-09-21 00,17
18,신대방역,60,26,2020-09-21 00,17
19,신방화역,199,78,2020-09-21 00,17
20,신천유수지주차장,164,190,2020-09-21 00,17
21,영등포구청역,137,65,2020-09-21 00,17
22,용산주차빌딩,561,389,2020-09-21 00,17
23,잠실역주차장,346,108,2020-09-21 00,17
24,적선노외,28,20,2020-09-21 00,17
25,종묘,1317,971,2020-09-21 00,17
26,천왕역,328,270,2020-09-21 00,17
27,천호역,1432,825,2020-09-21 00,17
28,학여울역,180,133,2020-09-21 00,17
29,한강진역,176,139,2020-09-21 00,17
30,화랑대역주차장,319,278,2020-09-21 00,17
31,훈련원공원,873,669,2020-09-21 00,17
1,DDP동측(양쪽),20,20,2020-09-21 01,17
2,웃우물공영,79,15,2020-09-21 01,17
3,가양라이품,38,31,2020-09-21 01,17
4,개화산역주차장,322,267,2020-09-21 01,17
5,개화역,483,349,2020-09-21 01,17
6,구로디지털단지역,92,59,2020-09-21 01,17
7,구파발역,399,362,2020-09-21 01,17
8,장안2동,80,25,2020-09-21 01,17
9,동대문공영주차장,1092,434,2020-09-21 01,17
10,마포유수지주차장,505,310,2020-09-21 01,17
11,복정역공영주차장,363,270,2020-09-21 01,17
12,사당노외,184,99,2020-09-21 01,17
13,서린노외주차장,38,34,2020-09-21 01,17
14,세종로,1260,1135,2020-09-21 01,17
15,수락산역,157,122,2020-09-21 01,17
16,수서역남,18,13,2020-09-21 01,17
17,수서역북주차장,553,471,2020-09-21 01,17
18,신대방역,60,27,2020-09-21 01,17
19,신방화역,199,80,2020-09-21 01,17
20,신천유수지주차장,164,189,2020-09-21 01,17
21,영등포구청역,137,65,2020-09-21 01,17
22,용산주차빌딩,561,388,2020-09-21 01,17
23,잠실역주차장,346,112,2020-09-21 01,17
24,적선노외,28,20,2020-09-21 01,17
25,종묘,1317,972,2020-09-21 01,17
26,천왕역,328,272,2020-09-21 01,17
27,천호역,1432,831,2020-09-21 01,17
28,학여울역,180,133,2020-09-21 01,17
29,한강진역,176,139,2020-09-21 01,17
30,화랑대역주차장,319,279,2020-09-21 01,17
31,훈련원공원,873,672,2020-09-21 01,17
1,DDP동측(양쪽),20,20,2020-09-21 02,16
2,웃우물공영,79,17,2020-09-21 02,16
3,가양라이품,38,31,2020-09-21 02,16
4,개화산역주차장,322,267,2020-09-21 02,16
5,개화역,483,349,2020-09-21 02,16
6,구로디지털단지역,92,63,2020-09-21 02,16
7,구파발역,399,362,2020-09-21 02,16
8,장안2동,80,24,2020-09-21 02,16
9,동대문공영주차장,1092,509,2020-09-21 02,16
10,마포유수지주차장,505,311,2020-09-21 02,16
11,복정역공영주차장,363,271,2020-09-21 02,16
12,사당노외,184,100,2020-09-21 02,16
13,서린노외주차장,38,34,2020-09-21 02,16
14,세종로,1260,1136,2020-09-21 02,16
15,수락산역,157,122,2020-09-21 02,16
16,수서역남,18,13,2020-09-21 02,16
