no,parkingPlaceName,maxParking,avilableParking,dateAndTime,temperature
24,적선노외,11,6,2020-11-02 03,9
25,종묘,1317,946,2020-11-02 03,9
26,천왕역,328,255,2020-11-02 03,9
27,천호역,1432,737,2020-11-02 03,9
28,학여울역,180,131,2020-11-02 03,9
29,한강진역,176,132,2020-11-02 03,9
30,화랑대역주차장,319,286,2020-11-02 03,9
31,훈련원공원,873,673,2020-11-02 03,9
1,DDP동측(양쪽),20,20,2020-11-02 04,8
2,웃우물공영,79,17,2020-11-02 04,8
3,가양라이품,38,33,2020-11-02 04,8
4,개화산역주차장,322,177,2020-11-02 04,8
5,개화역,483,367,2020-11-02 04,8
6,구로디지털단지역,92,74,2020-11-02 04,8
7,구파발역,399,364,2020-11-02 04,8
8,장안2동,80,24,2020-11-02 04,8
9,동대문공영주차장,1092,601,2020-11-02 04,8
10,마포유수지주차장,505,348,2020-11-02 04,8
11,복정역공영주차장,363,260,2020-11-02 04,8
12,사당노외,184,103,2020-11-02 04,8
13,서린노외주차장,38,34,2020-11-02 04,8
14,세종로,1260,1093,2020-11-02 04,8
15,수락산역,157,122,2020-11-02 04,8
16,수서역남,18,11,2020-11-02 04,8
17,수서역북주차장,553,452,2020-11-02 04,8
18,신대방역,60,31,2020-11-02 04,8
19,신방화역,199,72,2020-11-02 04,8
20,신천유수지주차장,164,186,2020-11-02 04,8
21,영등포구청역,137,81,2020-11-02 04,8
22,용산주차빌딩,561,407,2020-11-02 04,8
23,잠실역주차장,346,313,2020-11-02 04,8
24,적선노외,11,6,2020-11-02 04,8
25,종묘,1317,944,2020-11-02 04,8
26,천왕역,328,254,2020-11-02 04,8
27,천호역,1432,744,2020-11-02 04,8
28,학여울역,180,131,2020-11-02 04,8
29,한강진역,176,133,2020-11-02 04,8
30,화랑대역주차장,319,286,2020-11-02 04,8
31,훈련원공원,873,671,2020-11-02 04,8
1,DDP동측(양쪽),20,20,2020-11-02 05,9
2,웃우물공영,79,17,2020-11-02 05,9
3,가양라이품,38,33,2020-11-02 05,9
4,개화산역주차장,322,174,2020-11-02 05,9
5,개화역,483,366,2020-11-02 05,9
6,구로디지털단지역,92,73,2020-11-02 05,9
7,구파발역,399,365,2020-11-02 05,9
8,장안2동,80,24,2020-11-02 05,9
9,동대문공영주차장,1092,800,2020-11-02 05,9
10,마포유수지주차장,505,346,2020-11-02 05,9
11,복정역공영주차장,363,260,2020-11-02 05,9
12,사당노외,184,106,2020-11-02 05,9
13,서린노외주차장,38,34,2020-11-02 05,9
14,세종로,1260,1092,2020-11-02 05,9
15,수락산역,157,121,2020-11-02 05,9
16,수서역남,18,11,2020-11-02 05,9
17,수서역북주차장,553,455,2020-11-02 05,9
18,신대방역,60,30,2020-11-02 05,9
19,신방화역,199,75,2020-11-02 05,9
20,신천유수지주차장,164,186,2020-11-02 05,9
21,영등포구청역,137,81,2020-11-02 05,9
22,용산주차빌딩,561,407,2020-11-02 05,9
23,잠실역주차장,346,313,2020-11-02 05,9
24,적선노외,11,6,2020-11-02 05,9
25,종묘,1317,940,2020-11-02 05,9
26,천왕역,328,253,2020-11-02 05,9
27,천호역,1432,746,2020-11-02 05,9
28,학여울역,180,130,2020-11-02 05,9
29,한강진역,176,134,2020-11-02 05,9
30,화랑대역주차장,319,286,2020-11-02 05,9
31,훈련원공원,873,669,2020-11-02 05,9
1,DDP동측(양쪽),20,20,2020-11-02 06,9
2,웃우물공영,79,14,2020-11-02 06,9
3,가양라이품,38,33,2020-11-02 06,9
4,개화산역주차장,322,164,2020-11-02 06,9
5,개화역,483,347,2020-11-02 06,9
6,구로디지털단지역,92,76,2020-11-02 06,9
7,구파발역,399,354,2020-11-02 06,9
8,장안2동,80,25,2020-11-02 06,9
9,동대문공영주차장,1092,910,2020-11-02 06,9
10,마포유수지주차장,505,347,2020-11-02 06,9
11,복정역공영주차장,363,259,2020-11-02 06,9
12,사당노외,184,111,2020-11-02 06,9
13,서린노외주차장,38,34,2020-11-02 06,9
14,세종로,1260,1091,2020-11-02 06,9
15,수락산역,157,116,2020-11-02 06,9
16,수서역남,18,6,2020-11-02 06,9
17,수서역북주차장,553,435,2020-11-02 06,9
18,신대방역,60,29,2020-11-02 06,9
19,신방화역,199,75,2020-11-02 06,9
20,신천유수지주차장,164,186,2020-11-02 06,9
21,영등포구청역,137,78,2020-11-02 06,9
22,용산주차빌딩,561,403,2020-11-02 06,9
23,잠실역주차장,346,309,2020-11-02 06,9
24,적선노외,11,8,2020-11-02 06,9
25,종묘,1317,926,2020-11-02 06,9
26,천왕역,328,245,2020-11-02 06,9
27,천호역,1432,738,2020-11-02 06,9
28,학여울역,180,129,2020-11-02 06,9
29,한강진역,176,133,2020-11-02 06,9
30,화랑대역주차장,319,274,2020-11-02 06,9
31,훈련원공원,873,659,2020-11-02 06,9
1,DDP동측(양쪽),20,20,2020-11-02 07,9
2,웃우물공영,79,17,2020-11-02 07,9
3,가양라이품,38,28,2020-11-02 07,9
4,개화산역주차장,322,141,2020-11-02 07,9
5,개화역,483,258,2020-11-02 07,9
6,구로디지털단지역,92,74,2020-11-02 07,9
7,구파발역,399,316,2020-11-02 07,9
8,장안2동,80,26,2020-11-02 07,9
